"formula","1","2","3","4","5"
"~~((~(~p->q)->(r->~((~~(~~r->r)->r)->r)))->~p)","p,q,r","p,q,r","p,q,r","p","p"
"p->~((q->p)->~(((~r->q)->~~~~(~p->~q))->~p))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~~(p->p)->(((~q->~(r->~~(r->r)))->p)->~~p))","p,q,r","p,q,r","p,q,r","p","p"
"~(~(p->~~~q)->(~~p->(~~q->((~q->r)->(r->p)))))","p,q,r","p,q,r","p,q,r","p","p"
"~(((~~~p->q)->(~~(q->p)->p))->(~r->(~~~q->q)))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~~(~(~~(((p->~q)->q)->(~r->q))->~r)->r)->r)","p,q,r","p,q,r","p,q,r","p","p"
"~((~~~~(((p->~p)->~q)->q)->p)->(~p->~r))->~q","p,q,r","p,q,r","p,q,r","p","p"
"(~~~(p->~~~(((~p->q)->r)->r))->~~q)->~(p->q)","p,q,r","p,q,r","p,q,r","p","p"
"p->~~~~~(((q->p)->((~q->(~~q->~q))->r))->~p)","p,q,r","p,q,r","p,q,r","p","p"
"~p->~((p->~~q)->(~(p->~(~q->q))->~(r->~~r)))","p,q,r","p,q,r","p,q,r","p","p"
"~(((~~p->q)->~(~~~(~~(~(p->p)->r)->p)->p))->p)","p,q,r","p,q,r","p,q,r","p","p"
"~~(p->~p)->~((~~q->p)->(~(p->p)->~(r->~~p)))","p,q,r","p,q,r","p,q,r","p","p"
"~(p->~((q->~(~(~(p->~p)->~~(r->q))->q))->~~r))","p,q,r","p,q,r","p,q,r","p","p"
"~~(((~~p->(~~q->~q))->(p->p))->(q->(~~r->~q)))","p,q,r","p,q,r","p,q,r","p","p"
"p->((~p->(~p->~~~~(q->~p)))->(~r->~(~q->p)))","p,q,r","p,q,r","p,q,r","p","p"
"p->~~(p->(q->(~((p->r)->~~q)->~~~~(~q->q))))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~p->(~~~(~q->r)->(((r->p)->~r)->~(r->~p))))","p,q,r","p,q,r","p,q,r","p","p"
"~((~~p->~q)->~~p)->((q->~(~(q->q)->~r))->~q)","p,q,r","p,q,r","p,q,r","p","p"
"p->(~~q->~(~(~~(~r->(~~~(p->p)->r))->q)->r))","p,q,r","p,q,r","p,q,r","p","p"
"~(p->(~((~~(~q->q)->~p)->~(r->~~~r))->(r->p)))","p,q,r","p,q,r","p,q,r","p","p"
"~(~~p->((q->~~r)->~~p))->(~~q->(r->(p->~p)))","p,q,r","p,q,r","p,q,r","p","p"
"(~p->(~(~~(p->q)->~((~~~p->~r)->~q))->r))->p","p,q,r","p,q,r","p,q,r","p","p"
"~~~~((p->(~q->p))->(~((~p->p)->p)->~~r))->~q","p,q,r","p,q,r","p,q,r","p","p"
"~~~p->((p->(q->(r->~~r)))->~(p->~(~p->~~q)))","p,q,r","p,q,r","p,q,r","p","p"
"~((p->~(p->q))->~(q->((p->~(~~r->r))->~~~~p)))","p,q,r","p,q,r","p,q,r","p","p"
"~((~~(~p->q)->r)->p)->(~~s->(~r->(~r->~~p)))","p,r,s","p,r,s","p,r,s","q","p"
"~~~((~((p->~(q->r))->~~~((r->p)->s))->~~q)->r)","r","p,q,s","p,q,s","p,q,s","p"
"~(p->~(((~(~~(~q->p)->p)->p)->~~(~r->s))->~r))","p,r","p,r","q,s","q,s","p"
"~~~~p->((q->(q->(~~~r->s)))->((r->~~r)->~p))","p","q,r,s","q,r,s","q,r,s","p"
"~((~(~~p->(~q->~r))->(q->(~s->~s)))->(~r->~p))","p,r","p,r","q,s","q,s","p"
"(((p->q)->q)->(~~~~r->(~(p->~~~r)->~s)))->~r","r","p,q,s","p,q,s","p,q,s","p"
"~(p->((~~~(q->~r)->s)->~(((q->~~~~q)->q)->s)))","p","q,r,s","q,r,s","q,r,s","p"
"(((~~~p->(p->~q))->~(r->~p))->~~p)->(~~q->s)","q,s","q,s","p,r","p,r","p"
"(~~~p->~(q->(r->(~~~r->~~~p))))->((q->s)->p)","p","q","r","s","p"
"~p->((q->r)->~~((((s->p)->s)->~~~q)->~~~~q))","p,q","p,q","r,s","r,s","p"
"~~~(p->(~q->(r->(p->((~~s->~~q)->~p)))))->~p","p,q,r","p,q,r","p,q,r","s","p"
"~~~((~(p->~(~~(q->~q)->q))->r)->q)->(s->~~s)","s","p","q","r","p"
"~~~~((((p->q)->~~~(~q->r))->p)->(r->(~p->~s)))","p,r,s","p,r,s","p,r,s","q","p"
"~((~(p->~q)->q)->(r->~(r->((~s->~~~~s)->~s))))","r","p,q,s","p,q,s","p,q,s","p"
"~~~p->~~(q->((q->(~(~q->~r)->p))->~(s->~q)))","p,q","p,q","r,s","r,s","p"
"(~((p->q)->~r)->~~q)->(~((~~p->s)->~~~p)->q)","p,q","p,q","r,s","r,s","p"
"p->((((~~q->~r)->q)->~~(q->~~~~~r))->(s->p))","p","q","r","s","p"
"(~~(~p->p)->(q->~((~~~q->~~r)->~(r->s))))->s","s","p,q,r","p,q,r","p,q,r","p"
"~(~~~p->((q->(~q->~~(~p->~(r->~s))))->(q->r)))","p,q,r","p,q,r","p,q,r","s","p"
"(p->~(~~~p->(~(q->q)->((~~~r->~~s)->q))))->s","p,s","p,s","q,r","q,r","p"
"~~(~~p->q)->(~~r->~~(~((r->~s)->(p->q))->q))","p,q,r","p,q,r","p,q,r","s","p"
"~(((((p->~q)->~((~q->~~r)->p))->~s)->~q)->~~r)","r","p,q,s","p,q,s","p,q,s","p"
"(~~~p->~(q->~~(r->~~q)))->~(~p->(s->(q->r)))","p","q,r,s","q,r,s","q,r,s","p"
"~~((~((p->~~q)->r)->q)->~s)->((~p->p)->~~~p)","p","q,r,s","q,r,s","q,r,s","p"
"~(((~(p->p)->(~q->~p))->r)->~~~s)->~~~(r->s)","s","p,q,r","p,q,r","p,q,r","p"
"~(~~((~~p->(p->q))->q)->(r->~(~(~~p->~s)->r)))","r","p,q,s","p,q,s","p,q,s","p"
"~(~~~(((~~p->q)->p)->~(r->(s->(q->~~~r))))->q)","p,q","p,q","r,s","r,s","p"
"p->~((~~(~~q->~r)->s)->~(((~~~p->q)->q)->r))","p","q,r,s","q,r,s","q,r,s","p"
"p->~~~~(q->(((p->p)->~~(~r->s))->~~(~s->q)))","q","p","r","s","p"
"~(p->(~~~~~q->(q->r)))->~~(~s->(~s->(q->r)))","q","p","r","s","p"
"~(~(~(~~(~p->~~((q->r)->q))->q)->(p->~~s))->s)","p,q,s","p,q,s","p,q,s","r","p"
"p->~((p->~~(~(p->q)->r))->(~s->~~~~~(s->p)))","p","q,r,s","q,r,s","q,r,s","p"
"~~~~(((p->q)->~p)->~(~~q->r))->~((r->p)->~s)","p,q,r,s","p,q,r,s","p,q,r,s","p,q,r,s","p"
"p->((~~~q->((~~r->~(~r->s))->s))->~(q->~~s))","p","q,r,s","q,r,s","q,r,s","p"
"~p->~~~(~((p->p)->~~((q->~(r->~r))->s))->~p)","p","q","r","s","p"
"~~~~p->(q->~~~(q->(~(r->(~q->(r->~s)))->p)))","p,q","p,q","r,s","r,s","p"
"~~(p->(((q->p)->r)->~(q->(~~(~~~s->~s)->~q))))","p","q,r,s","q,r,s","q,r,s","p"
"~((p->~q)->(~(~p->(~~~(~~~(r->s)->r)->p))->r))","r","p","q","s","p"
"~(~(p->~(~~~(p->~q)->~~(r->(p->s))))->~r)->s","p,r,s","p,r,s","p,r,s","q","p"
"~(((~~p->q)->~~~((q->p)->~r))->~s)->~(~r->s)","s","p,q,r","p,q,r","p,q,r","p"
"~~~(p->((~~q->(~~~(p->(p->(~r->p)))->s))->~p))","p","q","r","s","p"
"~(((~(~~p->~~((p->~p)->q))->(p->~q))->~~r)->s)","s","p,q,r","p,q,r","p,q,r","p"
"p->(~(~~~~q->(r->((~~~(s->r)->~r)->~p)))->q)","q","p","r","s","p"
"~((~p->(~q->~~r))->(~((~r->~s)->(s->q))->~~q))","q,s","q,s","p,r","p,r","p"
"~((~(p->(~(~(~q->r)->~~~(s->~s))->s))->r)->~q)","q","p","r","s","p"
"(p->(q->(q->r)))->(r->~~~~~~(p->~~(~s->~s)))","s","p","q","r","p"
"~((p->(q->~q))->~~(~~~(~p->((~r->~p)->r))->s))","p,r,s","p,r,s","p,r,s","q","p"
"p->~(~(q->(~(~r->~(p->~(~q->s)))->~~~p))->q)","p","q,r,s","q,r,s","q,r,s","p"
"~(p->~~(q->(~((r->(~p->~~r))->(p->~p))->~~s)))","p,q,s","p,q,s","p,q,s","r","p"
"(((p->q)->~~(~~((p->~q)->r)->p))->~~~~s)->~q","q","p,r,s","p,r,s","p,r,s","p"
"(~~p->q)->(~~((r->~(p->p))->~~(r->s))->~~~r)","r","p,q,s","p,q,s","p,q,s","p"
"(~p->((q->~~~~~((r->r)->s))->r))->(~~~~s->p)","p,s","p,s","q,r","q,r","p"
"~~((~p->~~((~q->((~~(~~r->r)->q)->r))->s))->s)","s","p,q,r","p,q,r","p,q,r","p"
"~(~~~p->((~((~~q->~~r)->(~(p->r)->s))->q)->r))","p,r","p,r","q,s","q,s","p"
"p->((~~(q->~(~(r->s)->~~~(~~~r->s)))->p)->q)","p,q","p,q","r,s","r,s","p"
"p->(~~~(~q->(~r->~((~(~s->~q)->~q)->s)))->r)","p,q,r","p,q,r","p,q,r","s","p"
"p->((~~q->r)->~~((~~(r->(~s->~~q))->~p)->p))","p","q","r","s","p"
"(p->~(q->(~r->~q)))->((r->~~~~s)->~(r->~~s))","p,q,r,s","p,q,r,s","p,q,r,s","p,q,r,s","p"
"~~p->~~~((p->~~(q->(~r->s)))->(~q->~(q->p)))","p,q","p,q","r,s","r,s","p"
"(p->~q)->(~((~r->q)->~(~~~(~r->~~s)->q))->r)","r","p,q,s","p,q,s","p,q,s","p"
"~~((~(p->~p)->~~(q->((r->~~(s->s))->q)))->~~s)","s","p,q,r","p,q,r","p,q,r","p"
"((~((p->q)->q)->(p->~(~~~~~~~r->q)))->p)->~s","p,s","p,s","q,r","q,r","p"
"~(((~~~p->~~~q)->((~(r->~(q->~s))->r)->q))->q)","q","p,r,s","p,r,s","p,r,s","p"
"~~((~~~~p->(~~(q->~(p->~(p->r)))->(s->r)))->r)","r","p,q,s","p,q,s","p,q,s","p"
"~~~~(~p->(q->(r->~~(~(~~(q->r)->s)->(s->q)))))","q,s","q,s","p","r","p"
"~((~p->~~(~p->~(~q->r)))->s)->(~r->(r->~~q))","r","p","q","s","p"
"(p->(~~~~(~p->q)->r))->~(q->(~~~~(r->r)->s))","p,q,r,s","p,q,r,s","p,q,r,s","p,q,r,s","p"
"~(~p->(~~~q->(~~(r->(~(~r->(p->s))->~p))->s)))","p,q,s","p,q,s","p,q,s","r","p"
"~(((~~~~(p->~q)->(p->~~~q))->(r->s))->(r->~p))","p,r","p,r","q,s","q,s","p"
"((~p->~q)->q)->(~((q->~~~p)->r)->~~~(r->~s))","q,r","q,r","p,s","p,s","p"
"(p->(((q->~~~p)->r)->~~~((~s->s)->r)))->~~~s","s","p,q,r","p,q,r","p,q,r","p"
"~(p->(((~~(q->(r->q))->~~~(~p->~s))->p)->~~r))","p,r","p,r","q,s","q,s","p"
"~~~(((~~~(p->(~(q->~r)->s))->(r->~q))->~s)->p)","p,s","p,s","q,r","q,r","p"
"~((~p->p)->q)->(p->(q->(~~(~~r->s)->~~~~p)))","p,q","p,q","r","s","p"
"(p->((~(~~q->~~~r)->((s->s)->p))->~s))->~~~p","p","q,r,s","q,r,s","q,r,s","p"
"~~((~p->(q->~((~p->~r)->(~~r->(r->~s)))))->~s)","s","p,q,r","p,q,r","p,q,r","p"
"~p->~~(~~(q->(~~r->~(r->s)))->~((p->~q)->r))","p","q,r,s","q,r,s","q,r,s","p"
"~((~~(~p->q)->(~(~~~~r->r)->~p))->(s->(p->r)))","p,r,s","p,r,s","p,r,s","q","p"
"((p->~(~~~((~~~q->p)->~(r->q))->~r))->s)->~r","r","p,q,s","p,q,s","p,q,s","p"
"((~~p->~((q->~~r)->~(~(q->q)->~s)))->q)->~~p","p,q","p,q","r,s","r,s","p"
"(p->(~q->r))->~((~(~~p->r)->~~~(~~q->s))->q)","q","p,r,s","p,r,s","p,r,s","p"
"~~(~p->(((q->r)->(~(~~(s->~~q)->~r)->s))->~s))","p,s","p,s","q,r","q,r","p"
"~~(~~(~(p->p)->p)->(((~~q->r)->(~s->~q))->~p))","p","q,r,s","q,r,s","q,r,s","p"
"(~~p->(q->(~p->(~~~r->~~~(q->s)))))->~(r->p)","p","q,r,s","q,r,s","q,r,s","p"
"~~(p->~(q->~~q))->(~~r->(~(~~q->p)->(s->r)))","r","p","q","s","p"
"p->(((~~~(q->r)->~r)->~~(~(~q->s)->~~s))->p)","p","q","r","s","p"
"~(((~(p->q)->~~~q)->~~~~(r->p))->((s->~q)->p))","p","q,r,s","q,r,s","q,r,s","p"
"~~~~~((p->(~p->~(~p->(~q->~r))))->(p->(q->s)))","p,q,s","p,q,s","p,q,s","r","p"
"(~(p->~q)->~p)->(~~~(p->~~~r)->((s->r)->~r))","p,r","p,r","q,s","q,s","p"
"~(p->~~(q->~~q))->(p->~~(q->((~r->~p)->~s)))","q","p","r","s","p"
"(((~~(p->~p)->q)->~p)->(p->~r))->~~~~~(q->s)","p,q,r,s","p,q,r,s","p,q,r,s","p,q,r,s","p"
"~(~~(p->(((~~~~p->q)->~~q)->r))->(q->s))->~s","s","p","q","r","p"
"~(p->~(~~~(p->(~(q->q)->~~~r))->~(r->r)))->s","p,s","p,s","q,r","q,r","p"
"~(p->~~(~~(q->((r->q)->(~p->~(~~r->~q))))->s))","p,s","p,s","q,r","q,r","p"
"~((p->(p->~p))->~~((q->r)->~~(~~s->q)))->~~q","p,q,s","p,q,s","p,q,s","r","p"
"~p->((~~((~~~q->((r->~s)->q))->q)->p)->~~~q)","p,q","p,q","r,s","r,s","p"
"~(~((p->q)->((~~r->~s)->~~~((s->p)->~p)))->~r)","p,r","p,r","q,s","q,s","p"
"~~((((p->p)->p)->q)->~r)->(~~~(q->~~s)->~~q)","q","p","r","s","p"
"~(~~(p->q)->~(~~r->(~~(r->(~r->~(q->p)))->s)))","p,q,r,s","p,q,r,s","p,q,r,s","p,q,r,s","p"
"~(p->~((~(~p->(~~q->~~(r->(q->~p))))->~s)->s))","p,s","p,s","q,r","q,r","p"
"~~(~p->~((p->(~q->q))->(r->~~(~~~s->(t->r)))))","p","q,r,s","q,r,s","q,r,s","t"
"p->~(~(q->~~r)->((s->~(s->~p))->~(~~~s->t)))","p","q,r,s","q,r,s","q,r,s","t"
"(p->(~~~~(~(q->~~(~p->p))->p)->r))->(~~s->t)","s,t","s,t","p,r","p,r","q"
"(~~~p->(p->(~(q->~(~r->s))->~t)))->(~r->~~q)","q,r","q,r","p,t","p,t","s"
"~~(((p->~(~~(p->q)->(r->s)))->~t)->~(~~~t->s))","p,s,t","p,s,t","p,s,t","q,r","q,r"
"~(~(((~~(p->~~~~(q->r))->(s->~t))->~p)->p)->s)","p,s","p,s","t","q,r","q,r"
"~((~(p->~q)->(r->~(~~~~~(r->(p->~s))->s)))->t)","t","p,q,r","p,q,r","p,q,r","s"
"p->~~(q->~((~((~q->~r)->(q->~s))->~~~t)->q))","p,q","p,q","s,t","s,t","r"
"~(~(((p->q)->r)->((~p->~~~s)->~(~~t->q)))->~t)","t","p,q,r","p,q,r","p,q,r","s"
"p->(p->~(~~~~q->((~r->(s->~~~(s->~t)))->t)))","p","q,s,t","q,s,t","q,s,t","r"
"~(~p->~(q->r))->~~(~(~~(s->~r)->t)->(~s->r))","p,r,s,t","p,r,s,t","p,r,s,t","p,r,s,t","q"
"~~~(~p->((((q->r)->~~s)->r)->t))->~(~s->~~r)","p,t","p,t","r,s","r,s","q"
"~(~(~p->((q->~~r)->(((~~~s->t)->~r)->r)))->~r)","r","p","q","s","t"
"~(~(~p->~((~(q->r)->(s->~~q))->~(~~r->p)))->t)","p,t","p,t","q,r","q,r","s"
"((~(p->~(p->~q))->~~((~~r->~q)->s))->~~s)->t","t","p,q,s","p,q,s","p,q,s","r"
"~~(((p->~(~~~(~q->p)->(r->~s)))->p)->(~~q->t))","p,q,t","p,q,t","p,q,t","r,s","r,s"
"~~(~(~p->p)->q)->(~(~~~((r->s)->q)->~t)->~s)","q,s,t","q,s,t","q,s,t","p","r"
"p->(~(~~~(q->r)->~~p)->(s->~(~(p->~t)->~q)))","p","q","r","s","t"
"~~((~(~~p->~~q)->(((~r->(~p->s))->t)->s))->~t)","t","p,q,s","p,q,s","p,q,s","r"
"~~p->(~(q->(~p->(~(~~~(~r->s)->~t)->r)))->p)","p","q","r","s","t"
"(~(p->q)->~r)->~((~~~~s->(t->~~~(p->s)))->s)","s","p,q,r","p,q,r","p,q,r","t"
"(~(p->(q->(~~q->~~~r)))->~(q->s))->~~~(s->t)","p,q,s,t","p,q,s,t","p,q,s,t","p,q,s,t","r"
"~p->~~~(((~((~~q->r)->~~s)->~r)->t)->(r->t))","p","r,s,t","r,s,t","r,s,t","q"
"~(~(p->(~p->(q->~(r->s))))->~r)->~(~~t->~~s)","p","q","r","s","t"
"~(~~(p->~~(q->~((~r->s)->(~s->(t->p)))))->~~s)","s","p,q,r","p,q,r","p,q,r","t"
"p->~(q->~((r->~(~~~~~(~(s->t)->q)->~t))->q))","p,q","p,q","r,t","r,t","s"
"~~((p->(q->~(~r->(~~~p->~((s->~p)->~r)))))->t)","t","p,q,r","p,q,r","p,q,r","s"
"~~((~~~~p->(q->(~(q->~r)->~~((p->s)->t))))->t)","t","p,q,r","p,q,r","p,q,r","s"
"p->~~(~(~q->r)->~(~~(~~~((r->s)->s)->t)->r))","p,q,r","p,q,r","p,q,r","s","t"
"~~p->~((~~q->r)->(~s->(((t->~~~s)->r)->~p)))","p","q,r,s","q,r,s","q,r,s","t"
"((p->q)->~~~(((~~~(r->p)->~~~s)->p)->t))->~r","r","p,q,t","p,q,t","p,q,t","s"
"~(~~~p->(p->q))->(r->~(s->~~~((q->~~r)->t)))","p","q","r","s","t"
"(p->~~~((p->q)->((r->~~p)->~~~s)))->(~~r->t)","r,t","r,t","p,s","p,s","q"
"~(~(p->(~~p->(q->~~(~~~(r->s)->~t))))->p)->t","p,t","p,t","q","r","s"
"~(((~~p->q)->r)->((~~q->(s->(~q->~~s)))->~~t))","t","p,q,r","p,q,r","p,q,r","s"
"~p->~(((~~q->r)->~~~(s->(~q->t)))->(q->~~s))","p","q,r,s","q,r,s","q,r,s","t"
"~~((((~~~~p->q)->~r)->~s)->(~((~r->t)->r)->r))","r","s,t","s,t","p,q","p,q"
"~((p->(~~q->r))->~s)->~(r->~(~~~~(t->p)->p))","s","p,r","p,r","q,t","q,t"
"~(~~p->~(q->(p->((~~p->~r)->((q->~~s)->~t)))))","p","q,r,t","q,r,t","q,r,t","s"
"~~p->(q->~(((~~(~q->~~r)->s)->t)->~(~t->r)))","p,q,t","p,q,t","p,q,t","r","s"
"~~(~~~~~((~(p->((p->(q->q))->r))->~s)->~r)->t)","r,t","r,t","p,s","p,s","q"
"~(~~p->q)->(q->~~((r->~s)->(q->~(~~t->~s))))","q","p","r","s","t"
"~~~~((p->q)->(~p->~r))->~(~p->(s->~~(t->t)))","p","q,r,t","q,r,t","q,r,t","s"
"~(~(~p->(~~((q->r)->r)->(q->(~~~~r->s))))->~t)","p,q,r,t","p,q,r,t","p,q,r,t","p,q,r,t","s"
"(((~~p->~~(~(q->~(r->~s))->~t))->~s)->r)->~p","p","r,s,t","r,s,t","r,s,t","q"
"~(~(~((p->~(~q->~~~r))->~(q->q))->q)->s)->~t","q,s,t","q,s,t","q,s,t","p","r"
"~~p->(q->~((~~(r->(~(~~s->~p)->r))->t)->~p))","p,q","p,q","r,t","r,t","s"
"p->~(p->(~~(q->r)->((p->~~~~~~(s->~s))->t)))","p","q,r,t","q,r,t","q,r,t","s"
"p->~~~((~~q->~r)->(~s->~~(p->(t->~(p->r)))))","p","q,r,s","q,r,s","q,r,s","t"
"~(~(~p->~((~~~q->r)->~~s))->(p->(~t->t)))->t","p","q","r","s","t"
"~~~(~p->q)->(((~(~p->~~~r)->s)->(t->~t))->s)","p,q,s","p,q,s","p,q,s","t","r"
"~~(~(p->~q)->~(~r->~~((q->q)->~~s)))->(t->q)","q,t","q,t","p,r","p,r","s"
"p->~~~(~(((p->~~~~((q->~r)->~s))->t)->r)->p)","p","q","r","s","t"
"p->(((q->~r)->~~~s)->~(~q->~(t->~(q->~~r))))","p","q,r,s","q,r,s","q,r,s","t"
"(~(p->(~~q->~~r))->(r->~~s))->(~~t->(~p->q))","p,q,t","p,q,t","p,q,t","r","s"
"(p->(~(~((q->r)->s)->~r)->p))->(~~~~~~t->~r)","r,t","r,t","p,s","p,s","q"
"~((~p->q)->~p)->~~(~(~r->~~(~s->r))->(r->t))","r","p","q","s","t"
"~((p->p)->((p->~q)->~~~(~((r->~~s)->t)->~~s)))","p,q,s,t","p,q,s,t","p,q,s,t","p,q,s,t","r"
"~(~(~p->(~((~~(~~~q->r)->s)->t)->q))->(r->~r))","p,q,r,t","p,q,r,t","p,q,r,t","p,q,r,t","s"
"~(~p->~~((q->(~r->((q->(~~s->~q))->s)))->~~t))","p,t","p,t","q,s","q,s","r"
"p->(~~((~~~~(q->~(r->(~q->~s)))->~t)->s)->q)","p,q","p,q","s,t","s,t","r"
"~(~(~(p->q)->~(~r->~~(~(~p->(s->~t))->p)))->q)","p,q","p,q","r","s,t","s,t"
"~~((~p->~((p->~(~q->(~(r->~s)->r)))->p))->~~t)","t","p,q,r","p,q,r","p,q,r","s"
"~~~~((p->~(~~~~p->(q->r)))->((~(s->t)->r)->s))","s","p,q,r","p,q,r","p,q,r","t"
"~p->~(q->(q->~(~~(q->~~(~r->(~s->~p)))->t)))","p","q,r,t","q,r,t","q,r,t","s"
"(~~(~p->(q->(~r->~s)))->~~t)->(~~(r->~r)->q)","q,r","q,r","p,t","p,t","s"
"~((p->~(~p->(~q->~(r->~(~s->~~t)))))->s)->~p","p","q","r","s","t"
"(~~p->q)->~((~~~~~(r->(~p->s))->(r->~r))->t)","p,q,r,t","p,q,r,t","p,q,r,t","p,q,r,t","s"
"~(~~p->(((q->~~r)->~~s)->~(~s->q)))->(~t->p)","p","q","r","s","t"
"~~((~~~~p->(q->(~((q->~~q)->r)->s)))->(t->~r))","r,t","r,t","p,q","p,q","s"
"~~~(p->~(~(q->r)->~(((~~s->t)->r)->(~~r->r))))","p","q,r","q,r","s,t","s,t"
"~~((p->q)->((r->s)->~~(q->~((~~~p->~~t)->t))))","q","p,t","p,t","r,s","r,s"
"~(((~~p->(~q->(~q->(~~~p->r))))->q)->~s)->~t","s,t","s,t","p,q","p,q","r"
"~~~(((~((p->p)->(q->r))->(~s->~p))->~~~t)->~s)","s","p,t","p,t","q,r","q,r"
"~(((~~(p->~q)->~(r->~q))->s)->(~~t->~(s->~q)))","t","q,s","q,s","p,r","p,r"
"~p->(~q->(((~r->~~~(s->q))->~~(p->~q))->~t))","p,q,t","p,q,t","p,q,t","r","s"
"~(p->(~~~~q->~~(~p->r)))->((p->~~q)->(s->t))","p","q","r","s","t"
"(~(~(~p->~q)->(r->~q))->~((s->~~t)->~~t))->p","p","q,r,t","q,r,t","q,r,t","s"
"~~~(~~(p->~((~q->r)->q))->s)->~~(t->~(p->r))","s,t","s,t","p,r","p,r","q"
"p->~~((~~~~(~~(q->q)->(~(r->~s)->t))->s)->t)","p,s,t","p,s,t","p,s,t","r","q"
"p->~(q->(((r->~~~~~~s)->(s->p))->~(~t->~s)))","p","q,s,t","q,s,t","q,s,t","r"
"~~(~(((p->(p->(q->~~r)))->~~~(~~s->r))->q)->t)","q,r,t","q,r,t","q,r,t","p","s"
"~p->~(~~~((((q->~r)->~q)->q)->~~(~p->s))->t)","p","q,s,t","q,s,t","q,s,t","r"
"~((~p->~q)->(r->~(~s->(~r->~((~~p->t)->~t)))))","r","p,q,s","p,q,s","p,q,s","t"
"~(~~~~~(p->~((q->(~p->r))->s))->(r->(q->~~t)))","p,q,r,t","p,q,r,t","p,q,r,t","p,q,r,t","s"
"~~~(p->((q->r)->~((~q->(~~~p->(~s->~t)))->q)))","p","q,r","q,r","s,t","s,t"
"p->~~(~((~q->~r)->~~(s->~(~p->t)))->~(p->t))","p,s","p,s","t","q,r","q,r"
"((~(p->q)->~r)->~~(q->~(~~(~q->s)->~~s)))->t","t","q,r,s","q,r,s","q,r,s","p"
"~~(p->(~(~((~q->~q)->r)->((~s->t)->~r))->~~p))","p,r","p,r","q","s","t"
"~((~~~~p->(q->(~r->~s)))->~((t->p)->(p->~~q)))","p","q,t","q,t","r,s","r,s"
"~(p->((q->~p)->~((~(q->r)->~s)->(t->~~~~~t))))","p","q,s,t","q,s,t","q,s,t","r"
"~((p->(~(~~~((~~q->(q->~r))->~r)->r)->s))->~t)","t","p,r,s","p,r,s","p,r,s","q"
"~(~p->((~(~q->~~r)->s)->(~(t->(q->~~~p))->p)))","p","q","r","s","t"
"p->((q->p)->~(~~(r->~(r->(~~~~~~s->t)))->p))","p","q","r","s","t"
"p->~(~~(q->(r->(q->(~(~s->~~~~t)->~p))))->p)","p","q","r","s","t"
"(((p->q)->~~~r)->(~s->(~~(q->~~~s)->~t)))->t","t","p","q","r","s"
"~(~(~p->~q)->~~(r->(~(~s->r)->~~t)))->(q->q)","q,r","q,r","p","s","t"
"~~p->~~~((~q->~((q->r)->s))->(~r->(r->~~t)))","p","q,r","q,r","s,t","s,t"
"~((~~p->((q->r)->(~~(~~(s->~~t)->r)->~r)))->s)","s","p,q,r","p,q,r","p,q,r","t"
"~~p->(~~(~~((~q->~(r->r))->(~q->~s))->s)->t)","p,s,t","p,s,t","p,s,t","q","r"
"~((~((p->(p->p))->~p)->p)->~~p)->~~((~p->p)->p)","p","p","p","p","p"
"(p->~~~~((p->p)->(~p->p)))->((~~(p->p)->~p)->p)","p","p","p","p","p"
"~((p->(~p->~~((p->p)->~(~(~p->~p)->(p->p)))))->p)","p","p","p","p","p"
"(p->(p->~~p))->(p->~((~~(p->~p)->p)->~(~p->p)))","p","p","p","p","p"
"((((p->~(~~p->p))->(~~p->p))->p)->p)->~(p->~~p)","p","p","p","p","p"
"~((p->(p->~~~p))->~(p->(~(~p->p)->(p->~(p->p)))))","p","p","p","p","p"
"(p->~(p->~~((p->((~~~p->~p)->p))->p)))->(p->~p)","p","p","p","p","p"
"(p->p)->(p->~((p->(~~(p->~p)->p))->~(~p->~~p)))","p","p","p","p","p"
"(~(p->~((p->~(p->~~(~~p->(~p->p))))->p))->p)->p","p","p","p","p","p"
"~((~(~p->((p->p)->~~~(p->p)))->(p->p))->~(~p->p))","p","p","p","p","p"
"~(~(p->p)->(p->(p->((p->p)->~~(~~~p->(~p->p))))))","p","p","p","p","p"
"~(p->(((((~(~p->(~p->~~p))->~~p)->p)->p)->p)->p))","p","p","p","p","p"
"~~~(((~(~p->p)->(p->~~~(((p->p)->p)->p)))->p)->p)","p","p","p","p","p"
"~p->(~p->((~~~p->(~(p->p)->(p->p)))->(p->~~p)))","p","p","p","p","p"
"p->(((~p->p)->~p)->(p->~~(p->(~~p->~~(p->p)))))","p","p","p","p","p"
"p->(p->((p->(~~(p->~~~(~p->p))->~p))->(~p->p)))","p","p","p","p","p"
"~(p->((~p->((~(~p->p)->p)->p))->~~p))->~(~p->p)","p","p","p","p","p"
"(p->p)->~(~~~~((~p->p)->p)->~(((p->p)->~p)->p))","p","p","p","p","p"
"p->((~(p->~~(p->~~~p))->p)->(p->(~~p->(p->p))))","p","p","p","p","p"
"p->~(((p->p)->(p->(~~p->~~(~p->p))))->~~(p->p))","p","p","p","p","p"
"~p->(~((p->p)->~(~p->~p))->(p->~~(p->(p->~p))))","p","p","p","p","p"
