index, formula
379, p v (~q v ((((r & s) & t) & (s & (p v (r & s)))) v p))
380, p & (((q v p) v (p & (~(r & ~(s v r)) v t))) v ~p)
381, p v ((~~q v (p & (r & s))) & ((~~~t & p) v p))
382, p & ((((~((q v p) & p) & (r v r)) v (p & s)) & t) & p)
383, p v ((q v ~(r & ~((((~s & s) v s) v r) & p))) & t)
384, ~~((p v q) & ~(~~((r v (p v p)) & (s v s)) & t))
385, (((p & (q & (~r & (p v s)))) v ((q & s) v q)) & s) v t
386, ~((~~(((p v (q v p)) & ((r v p) & s)) v p) v t) v s)
387, (((p & ~(~q v ~(r v r))) & q) & (s v q)) & (r v t)
388, (p & ~((q & ~(p v r)) v (q & q))) v (s v ~(q v t))
389, ((p v q) & ((r v s) v t)) & (s & ~(s v ~~(r & t)))
390, ((p v q) & ((r & (~s & r)) & r)) & (~~q & (r & t))
391, (p & ~((q & ~(~r v (p & (s v r)))) & r)) v (q & t)
392, ((p & (p v q)) & ((r v s) & ((t v q) v (r & r)))) v ~s
393, ((p & (q v (((~p v ~r) & q) v (s & t)))) & p) & ~q
394, (p & q) & (((r v q) v q) v ((((q v q) v ~s) v t) v t))
395, ((((p v (((q v p) & r) v r)) & ~(r & s)) v r) & q) v t
396, (p v ((~q v (r v ((s & p) v ((s & t) & q)))) & s)) v q
397, p & (((q v p) & ((q v (r v (s & t))) & q)) v (q v ~t))
398, ((p & q) v (p & (((q & p) & q) v r))) v (s & (~q & t))
399, (((p v q) & p) & r) v (~r v (s v ~~((p v t) v t)))
400, ((p & ((q & (r v r)) v s)) v r) v ((s v ~(q v t)) & t)
401, ~((p & q) & ((~~((r v q) & (s & p)) & (t & r)) & t))
402, ((p v (q & (p v ~r))) & ((q v (q & (s & q))) v r)) & t
403, p v (~((q & q) & ((r v ((s v r) & q)) & t)) & (q v s))
404, (p & (q & (r & p))) & ((r v q) & (((s v t) v s) & ~r))
405, (((p v q) & ~q) v (q & ((r & (s & s)) v (t v r)))) & s
406, ~(p & ~q) v ~((p & ((~r & ~s) v (p & s))) v t)
407, ((~p v q) & (((r & ((s & s) & ~s)) & q) v t)) & ~r
408, ~(p & (q v (~(r v s) v (((q & ~(r v p)) v t) v r))))
409, ((p v ~q) & (~(r v ~~s) v (s & t))) & (p v ~q)
410, ~((~p & q) v r) & ((~(r v ~q) & q) v (~s & t))
411, ((p v (p & (q v ~r))) v (s v ((t v t) v q))) v (p v p)
412, ~((((~(p v (p & q)) v ~r) & s) v ~t) v (~t & s))
413, p v (((q & ~~((r v p) & ~s)) & ((t & s) & q)) v t)
414, ~p v ((((q & (r v (r v s))) v p) v (p & (t & q))) v q)
415, (((p v q) v r) v ((s & r) v ((t v (~p & t)) v q))) & p
416, ~(p & ((~~q v (q & q)) & r)) v (((s & t) & s) v s)
417, p & ~~(((q & ((p & p) v r)) v (s & t)) & (~r & t))
418, (p & (q & ~(r v s))) & ~((s v s) v (~(p & q) v t))
419, (p & q) v ((r v ((~q & s) & ((t v ~~q) & t))) v s)
420, p v ((q & (~(((r v s) & (r & q)) v r) v s)) & (t v r))
421, ~p v (~q v ((((q v r) v ~s) & ((p & t) & s)) & r))
422, ((p & ~q) & ((q & q) v ~((r v r) v ~s))) v (p & t)
423, ~p v (((q & (p v ~((q & p) v (~r v s)))) v q) v t)
424, ((p v (q v ~((((q v r) v (s & q)) v s) v t))) v s) & s
425, ((p & ~((~p & ((p v q) & (p & r))) v s)) v ~q) & t
426, ((p & ((q v r) & ~(p v (~r & ~q)))) & s) v (t v r)
427, ((p & (q v (q & ((r & ~s) v s)))) & (t v p)) v (s & q)
428, (p v q) v (q v (((q & p) & (r & (~(s v t) & q))) v s))
429, p & ((((p & ~q) v (~(q v r) v ~s)) v t) v (p v p))
430, p v ~~~((((q v ~r) & r) & ((q v s) v ~t)) & t)
431, (p v q) v (r v ((q & (p v s)) & (p v ~((t & s) & s))))
432, (~~~((p v (q & r)) & s) & s) & ((r & p) v (t v t))
433, ~~~(p & (~((q v (r v (~s & t))) v s) v (p v t)))
434, ((~(p & ((q v r) v q)) & (((r & s) v s) v q)) v s) v t
435, p v ~(q & ((r v ((s v ((p & p) v (q v t))) & p)) & s))
436, (p v q) & (((r v r) v s) v (((~q v p) & (q v t)) v s))
437, (~(p v q) v (r v s)) v ~(((t & (p v t)) v p) & ~q)
438, (~((p & p) & ~q) v q) & (r v (((s v t) & q) v ~s))
439, (p & ~((~((q v ((r & p) & ~s)) v t) & r) v q)) & p
440, (~(p & q) & q) v (((q & ((r & (s & q)) & q)) v t) & q)
441, (p & ((p & ((q & q) v ~r)) & r)) v (s & ((q v p) v t))
442, (~p v ~(q & ~q)) & (((r v ~s) & (~t v r)) v t)
443, p v (p v (q v (((((p v r) v r) & (~r & q)) v s) v t)))
444, ~((((p v (q & r)) & p) & ((r & q) & q)) & ~(s v ~t))
445, ~((p & q) v (q v r)) v (((s & t) & r) v (t v (q v t)))
446, ~(p & ~(q v (~(((r v r) & s) v ((t & s) & s)) & t)))
447, p v (q & (((~r v (s v ~(~t & (s & s)))) v q) & t))
448, (~(p v p) & (p & (((q v p) & (r & q)) & ~~s))) v t
449, (((p v q) v r) & (r & (((~s & q) v p) v ~~s))) & t
450, ((((p v (p & q)) v r) v ((s & s) & t)) v (s v p)) v ~p
451, (p & p) & ((q & ~(p & (r & s))) & ((~t v q) v ~s))
452, (p & (((((q v q) v r) v ~(s & r)) & (r & q)) & q)) v t
453, ((((~((p v ~q) & r) v s) v t) v s) & (~q v q)) & s
454, ((p v ~q) & ((r v (((s & p) & p) v (t & q))) v r)) v r
455, p & ((((q v ((r & ((p & ~s) & p)) v r)) & q) & t) & r)
456, p & ((q v r) & (((s v ((r & s) & ~q)) v t) & (p & q)))
457, p v (((p & q) & ((r & (q & (r & p))) & ~(r & s))) v t)
458, ~(((p & (p & q)) & ~r) & ((s v t) & ((~p v p) v s)))
459, (((p & q) v q) v ((r & p) & q)) & (((s v t) v q) v ~s)
460, ~(((p & p) v ~q) v p) v (r v (s & (q v (~q & t))))
461, ~((p & (((q v (~q v p)) & q) v (r v s))) & t) v ~r
462, ((p & q) & (((r v s) & (s & ((q v s) v ~q))) & t)) & s
463, ((p v ~q) v ((r & s) & (((p v (q v t)) v q) v p))) v t
464, ~(((p v q) & (r & s)) v ((r v (s v t)) v ((q v p) v s)))
465, p v (~q v ((r v (((((s & s) v q) & q) & r) v r)) v t))
466, p v (p & ~((((q v (p v r)) & s) & r) & ((p v t) v s)))
467, (((p v q) v (r v ((s & t) v (~(t v p) & t)))) & r) & t
468, p v ((((p & (q & ~((r & (s & q)) & r))) & t) v q) v s)
469, ((p v q) v (~q & (r & (~((q v s) v t) v p)))) v ~q
470, ((p v q) v (~((r & q) & (s & q)) v t)) & (s & (s & q))
471, ((p v q) v (r v ~((s v (s v s)) v (s v (t & t))))) v s
472, ((((p v (~q v (p v p))) & (q v (p v r))) & r) & s) & t
473, p v (q v (~(r & r) v ((p v r) v (p & (p & (s & t))))))
474, (((~~p & ~~~q) v ~r) v (s v p)) & ~(p v t)
475, p v (((p & (q & ((q & r) & s))) & ~p) v ~(~t v s))
476, ~(~(p & ((((~q & r) & ~s) v ~t) v q)) & (p & r))
477, ~~~(p & ((q & ~((~r & p) & q)) & ((s & q) v t)))
478, ~((p v q) v (q & ~((r v r) v (s & (~(q & q) & t)))))
479, ~((~p & ((q v (q & (r v r))) & ~((s & p) & t))) & q)
480, (p & (p v p)) v (~((((q v r) & ~s) v ~s) & t) v r)
481, (~(((p v q) v r) v s) v s) & ((q & ((p v p) & p)) v t)
482, p & (q v ~(~q v (p v ((p & (r & ~q)) & (s v t)))))
483, p v (q v (r v ((~(~((r v s) & p) & ~r) & s) & t)))
484, (((((p & q) & (q v q)) v r) & ~q) v s) v ((t & t) & q)
485, (((p v (q & (((r v (s v q)) v t) & r))) & ~p) & s) v s
486, ~((p v ~((p v ~(q & ~r)) v (p & p))) v (~s v t))
487, ((p & q) & ~~~(r v (~~s v ~(t v p)))) v ~r
488, ((~p v ((p v q) & (r v r))) v (p v ~s)) & ~(p v t)
489, (p & ~(((q v r) & r) v s)) & ((p & ~q) & (r v ~t))
490, (~p v ((q v q) & (q & r))) v ~(q & (~(s & t) v s))
491, ((p v ((q & r) & q)) & (~(~~p & (q & s)) & t)) v q
492, (~(p v q) & r) v (s v (((s & (~t & r)) & ~s) & p))
493, (p v ~~~((q & ~~~r) v ((s v q) v ~s))) & t
494, (((p & q) v ((~r & ~p) v (s & ~s))) v (t & s)) & s
495, ~(p & (~(q v (r & ~((~s v ~p) & t))) v r)) & t
496, (p & ((~~(q v (r v s)) & q) & s)) & (t & (q v ~r))
497, ((~p & q) & r) v (~s v (((t & p) v q) v ~(p v s)))
498, ((((p v q) v ((~(r & (p & r)) v s) & q)) v t) & q) & q
499, (p & ~(q & (((p & (r & s)) v s) v ~(~s & t)))) v t
500, ~((~(p v q) & (p & ((r & p) v ((~q & s) v s)))) v t)
501, (((~(~p & q) v p) & ~r) v s) v (((q & t) & s) v p)
502, p v (q & (((q & r) v (s v ~(s & ~(t v ~q)))) v q))
503, ~((p v (p & (q & r))) v (r v ((s v q) v q))) v (r v t)
504, ((p & (q & r)) & p) v (s & ((p v r) & ~(p v (q v t))))
505, (p & (q & ((q & r) & ~(s & (~~r v (r & t)))))) v p
506, ~(p v (q & ~((r & s) & (((~r & (r v t)) & p) & t))))
507, (p v ~((q v ~r) & p)) & (((r & q) v ~s) & (q & t))
508, (p & ~q) & (r & (s v ((p & r) v (t v ((p & s) & r)))))
509, p & ((((q v (r & r)) v (s v (s v ~r))) & (p v t)) & p)
510, ((p v (q v ~~p)) v (r & (~(q & q) & (s & t)))) v q
511, ((~p & (((q v r) & ((s & s) v p)) & (t & s))) v s) & r
512, (((p & (q v r)) v p) v ~s) & ((t & ~~s) v ~~t)
513, ((p v ~(q & (~(r v ~(q v s)) & t))) v ~r) v ~q
514, p v ((q v (r & ~((s & s) v p))) v (t v ((p & q) v r)))
515, (~(p & q) v (r v (s & s))) & (((r v ~~r) & t) v r)
516, ((p v q) v ~r) v (q & (((s v s) v ((s & t) v r)) v q))
517, (((p v p) v ((q v r) v ~r)) & q) & (((s & s) & t) & q)
518, (p v (((((q v ~~r) & s) v (t & q)) v t) & r)) v ~p
519, p & (~q & (r v (s v (((t & (s v p)) v q) v ~~p))))
520, ((~~p v q) & ((r & (s & ~q)) v t)) & ((s v t) & t)
521, (p & (((q & r) v (((s & ~t) & t) & p)) & (p v t))) v r
522, p & ((q v (~r & r)) v ((q & (s & (~t v ~p))) & s))
523, ~((p & q) v (r v ((s & (t & r)) v r))) & ((p & r) & q)
524, p & (((p & q) v (~~p & r)) v ((q & s) & (r & ~t)))
525, (((p v (q & q)) & r) v (s & (~s & p))) v ((p & r) v t)
526, ((((p & (q v (r v (s & t)))) v (p v t)) & q) v ~s) & t
527, (~p & ~((~~(q & r) v q) v q)) & ~((r v s) v t)
528, ~((~p & ~(((q v ((p v q) & r)) v (s v t)) v p)) v r)
529, (((((p & (q v r)) & ~~(s v t)) v r) v ~t) & t) v t
530, ~((~p v p) & q) & (~~(r & (s v (~t & r))) & r)
531, (p v ((q & ~p) & (((p & (~p & r)) & ~p) v s))) v t
532, p v ((((q v r) v (s v s)) v (~(r v r) v p)) & ~~t)
533, ((~p & p) v ~((q v r) v ~s)) v ~(t & ~(r & q))
534, ~(~((p & ((p v q) v r)) v ((s & p) & (~q v t))) v q)
535, p v (((q v ((((p & p) v ~(r & p)) & s) v r)) & t) & p)
536, ((p v q) & ~(q & ~r)) & (((~s v (t & t)) v q) & s)
537, ((((((p & (q & q)) v r) v s) & (p & p)) & ~s) v p) & t
538, (((~((p & ~q) v r) v q) & ((s & t) v ~t)) v t) & s
539, p v (q & ((((q & (r v (s & t))) & ~q) & (t & t)) v p))
540, ((p v q) & (~(r & ~(r v ~(q v q))) & s)) & (t & s)
541, p & (q & ((p & ((r & s) & s)) v (~t v (r v (r & p)))))
542, (((p & q) & (((r v q) v ~s) & (r v r))) & ~p) v ~t
543, p & (~~((q & (((q v (r v s)) & ~s) & t)) & p) & q)
544, (p & q) & (r v (((r v q) & (q v q)) & ((s & ~p) & t)))
545, (((((p v q) v r) & s) & (~r & (s & (t v q)))) & r) & r
546, (p v ((((~q & r) v s) v q) v t)) & (((t & r) v s) v s)
547, ~((p & ((q & (~~r v (r v (p v q)))) & (q v s))) & t)
548, (p & (q v (p v (p & ((p & r) v (r & (~r v s))))))) & t
549, (~~((p v q) & (~q & r)) v (r & (r & r))) & (s & t)
550, p & (~q & ((p & p) v ~(p v ((p & (r & ~s)) v t))))
551, (p v ((~~~~q v r) v (p v (q & ~(r v s))))) & t
552, (((((p v (p & (~p v ~~q))) v r) & s) v t) v s) v t
553, ~(p v (((p & (q v r)) & (p & s)) & (r & (t v (t v t)))))
554, ~((p v (p v ((q v ~r) & s))) v (p & ~(q v t))) v p
555, ((p v ((q & p) v r)) v p) & ~((p v ((s & p) v t)) & t)
556, (p v ~(q v r)) & (((p v s) & (r v (t & s))) v (r v s))
557, (p & (p & (~(~(q & r) & s) v ~(s v q)))) & (t & p)
558, ~(p & ~~~(~q v (((r v s) & t) & (s v (p v r)))))
559, ~p v (p & (q v ((((p v ~r) & s) v ~(p & s)) & t)))
560, (((~(((p v q) v p) & p) & r) & ((q v p) & q)) v s) & t
561, (((p & (~(q v r) v (~q v s))) v ~~r) & ~t) v r
562, ((p v ~q) & r) v ((((~s & ~t) v r) & t) & (s & p))
563, (p v ((p v q) & (~q v r))) & (((s & t) & (r & r)) & q)
564, ~((~p & (q & (p v p))) & ((r & ~r) & ((s & t) & q)))
565, ((p v q) v r) & ~(s & (~(p v (t & (q & ~r))) v t))
566, ~(p & q) & (~r v ~~(s & (s v (p & (~r v t)))))
567, ((p & ~q) & ((r v (s v (q & p))) v (p & t))) & (t & p)
568, p & ~(q v ~((q & ~((r & r) & s)) v ~~(s v t)))
569, ~(((~p & ((~(q v ~~r) v p) v s)) v t) & (t & t))
570, ~(((p & (q v (r & (r v q)))) & p) & ((q & (r & s)) & t))
571, ~(p & ~((((q v r) & r) v (r & s)) & (q v (~s & t))))
572, p & (q v (p & ((r & (s & p)) & (t & ((t v ~p) & t)))))
573, ((p v q) v (r & ((r & (((s v q) v p) v ~q)) v t))) v r
574, (~((p & ~(p v ~q)) v r) & (~s & (p & ~p))) v t
575, ((p v ~(q & (p v r))) & ~(p & ~(q & (s v r)))) v t
576, (~p v (q & (((r v s) v r) v (~~r v r)))) & (r & t)
577, ~((~p v q) & (r v ~((s v (r v (p & (p & r)))) & t)))
578, (p v ~(~(q & r) & (q v ~(q v (s v (t & q)))))) & s
579, ~~(p v (~(q & (~r v ~(s v t))) v ((q & r) v q)))
580, ((p v ~(p v q)) v r) & ((~~q & (s v p)) & (t v q))
581, p & (~(~q v q) & ((r & (q v (s & (t & t)))) & ~t))
582, (p & (q v (r & r))) v ((s & r) & ((s v ~(p & t)) & r))
583, p & (q v ~~((p v ~(r & ((s & p) & (p & t)))) v p))
584, p v (((((((q v p) & r) & s) v ~t) & q) & s) & (s v q))
585, p & (q & ~((q & ~(r & s)) v ~(((q & t) & q) & s)))
586, ~~(~(p v q) v (r & (~s & (~s & ((p & t) v p)))))
587, (((((p v q) & r) v (~~p v s)) & t) & s) v (~r & t)
588, (p v ((q & ~~~r) & ~s)) v (((t & ~t) v p) & r)
589, (p & (~~q v ~((~r & q) & s))) v ((r & t) v ~t)
590, ~((~p v ((((q v ((r v q) & ~p)) v s) & r) & t)) & r)
591, (~((~(p & q) & p) & ~((r & r) & (s & t))) & p) v s
592, (~((p v (p & ~q)) & r) & ((q v (s & ~r)) & t)) & t
593, ~(p & ~((q v r) v (~~(s v (s & ~t)) & s))) & r
594, (((p v ((p & q) v r)) & p) v r) v ~((s & (s & q)) v t)
595, ((((p & q) & (r v ~~s)) & p) & t) v ~(s & (p v r))
596, ((p v ~~(((q & (r & p)) & s) v p)) & t) & ~(q & t)
597, (((p v q) & r) v ~((p v s) v t)) & (t & (~p v ~p))
598, (p & (q & (r v (((s v t) & ~((r v p) & r)) v p)))) v q
599, (p v (q v (r & p))) & ((~~s v (~q v ~q)) & ~t)
600, p v ((q & (r & ((q & ((s v p) & (t & r))) v ~p))) v s)
601, ((p & (~q & p)) v (r & ((r & s) & (p v t)))) v (t v t)
602, p & ((p v (q & ((((r v s) & t) v (t & s)) & ~p))) & q)
603, ((p & q) & (r v p)) v (s v ((~s v (p v s)) & (t v p)))
604, (p & p) v ~((~(q & (r v (r v s))) & ~~~s) & t)
605, (p v ((q v (r v s)) v ((r v (p v p)) v ~(p v t)))) v q
606, ~(((p & (q v ((r & (~~s v p)) v t))) & q) v p) v s
607, ((~p v q) & r) & ((s & r) & (t v ((p & r) v ~~p)))
608, (((p & ~((q v p) & (r v s))) & (t & s)) & q) v (q & q)
609, ~~((p v ~((~p & q) v (r v s))) & (r & (~t v p)))
610, p v (q & ((~~p v (r & s)) & (((t v ~t) v r) & t)))
611, ~(~(p & q) & (r & ~(((r & s) v p) & (t & r)))) v r
612, p & (p v (q & (((r v (((s & q) v t) & p)) v s) & ~r)))
613, p & ((((q & ~((r v ~(s & s)) & ~t)) & r) & p) & p)
614, ~~(p v ((p v (q v r)) v ~(((s v t) v (t & p)) & s)))
615, p & (((~((q & r) v (~s & s)) & s) & ~t) & (p & p))
616, (~p v ~(((q v p) v r) & r)) v (s v ((r & t) & ~q))
617, ~p & ((((q v q) & ((r & q) v s)) v t) v (s v (q & t)))
618, (p v ((q & ((~r & ~~(s & s)) & ~t)) & ~q)) & t
619, ((((p v p) & ~(p & q)) & r) v ((~q v ~s) v t)) v t
620, (~p & ((((~~((q & r) & q) v s) v s) & r) v t)) v q
621, (p & q) v ((q & p) & ~(((r & p) v (s & (t & t))) v q))
622, p & ((~(q v (r & (s v ((s & s) & (s v t))))) v r) v s)
623, p & ((q v (~(q v (r & ~p)) v q)) v (~(s v r) v t))
624, (p & ((q & p) & ((r v s) & ((t v q) v ~r)))) v ~~q
625, ~((p & q) v r) & (((~p v ~(s v (s v p))) & t) & r)
626, p v (p v ((q & (r v (r v ((s v (t & ~s)) v r)))) & s))
627, ((((p & ((q & (r & q)) & s)) & s) v ~~~t) v s) v s
628, ~(((p & ~~(q v ~(r v ~p))) v (s & t)) & (p & p))
629, (~p & (q & (~p v r))) & ((s v (t v s)) & ~(r & r))
630, ((p v q) v (q v (r & p))) v (~(~~(s & p) & t) v q)
631, (((~((p & q) v r) & (~q & s)) & ~r) & t) v (r & r)
632, ((p v ((q & (q v (r & ~(p & s)))) & (t & p))) & s) & p
633, ~~p & ((q & ~(r v ((p & q) & s))) & (q v (s & t)))
634, ~((p v ~q) v (r v (s & (s v (~(s & t) v (t v r))))))
635, p v (q & (((((r & s) & (p v ~~t)) & r) v s) v ~t))
636, (((p v (q v r)) v s) & t) v ((p & s) & (r v (~s & s)))
637, (((p & (p & q)) & r) v p) & ((s v (p v (r v ~t))) v s)
638, ((~p v (q v ~r)) v (~r v (((p v s) v t) v r))) & t
639, ~((((~p & (q & r)) v s) & (s & p)) & ((~r v t) v s))
640, (p v ((q & (~(r & s) & t)) v (r v ~~(q & t)))) v r
641, (((p & ~q) & (r & ~(s & t))) v ~s) & ~(~p & t)
642, (p v (q & ((r & ~((q & s) & (t & t))) & r))) & ~~r
643, p & ((~((((q & r) & (s v p)) & s) v (t v t)) v t) v r)
644, ((p v (q v (~(r & (q & (q v p))) v (s v q)))) v q) & t
645, (~~(p v ~~(q v ~r)) & s) v ~~((t & s) v r)
646, p v (~(p v ((~(q v (r & ~q)) v (s v p)) v t)) & p)
647, (p & (((q & r) v s) & (t v ~q))) & (((t v s) v t) v s)
648, (p v (q v q)) v ((r v (r & s)) v (p & (s v ~(t & q))))
649, ((p & (p v q)) & r) & (p & ((s v (p & t)) & (~s v t)))
650, p v ((((q & r) v r) & s) & ~(q v (~(~t & s) v r)))
651, (((p v ((q & (r v (r & r))) & ~p)) v s) & t) & (r & r)
652, ~(p & ~(((~q & r) v ~r) & (~~s & ~(t v r))))
653, (((p v q) & r) v (q v (s v ((r v (q & q)) & t)))) & ~q
654, ~(~((p v (p v (q & (r v (s & r))))) & (t & p)) v ~p)
655, ~(p v (p & q)) & (((r & s) & (r & ~~(r v s))) & t)
656, (p & (q v (r v r))) v (~((s v t) & s) & (~q v ~r))
657, p v ~((~(q & (~(q v r) & q)) v (s v t)) & ~~p)
658, ((((p v (q v ~r)) & q) v (r v s)) v t) v (t v (s v q))
659, (p v q) v (((~r v (~q & ~s)) & ((t & q) & q)) & p)
660, p v (q & (~((r v (s v ((t & (r & q)) & t))) v q) & s))
661, (p v q) & ((r v (((~r & r) & (s v p)) & t)) & (p & r))
662, ((p v q) & ((~q & (~(r & q) v r)) & ~(p v s))) v t
663, ~(p & ~p) v (q & ((r v p) v (~(s v (t v t)) v t)))
664, ((p v ~q) & ((r & r) & s)) v (r & ~((~t & p) v t))
665, ~((p & ((p v (q v ~r)) v q)) v (q & (~s & (t v p))))
666, p v ((q & q) & (p & ((p & (~(r & s) v (r & r))) v t)))
667, p & (~p v (q v (r & ((((r v s) v (p v r)) v t) & t))))
668, ((p v q) v r) & ((s v (s & (q & ((q & ~s) & q)))) v t)
669, (p & q) & ((p & (r v s)) & (q & (r v ~(~~p & t))))
670, ~~~((p v ((q v ((~r v q) & s)) & ~q)) & t) & t
671, p v (((q v ~r) & s) & (((t v ~(p v ~q)) & s) & r))
672, (p v ~(q & (~p & ~~r))) v (~s v ~(p v ~t))
673, (p & ~((q v ~r) v (s v q))) v ~(((r v t) v r) v s)
674, ~(~(p v (q & ((r v s) v (t v (s & ~t))))) & r) & p
675, ~(((p v q) & (p v r)) & (q & (s & ~((s & p) & ~t))))
676, ~~((p v ((~(q & (r & (s & ~q))) v r) v r)) & ~t)
677, p & ~((q v (r & (((s & r) v ((t v s) & p)) & q))) v q)
678, (p v ~(((q & (p & r)) v ~(s v p)) & t)) & (p v ~s)
679, ~~((p & q) v (~(r v q) & (s & (q v ((t & t) & s)))))
680, (p v p) v (~((~q & ~p) v ((r & s) & (t v t))) & s)
681, p v ~(((q v (r & ((q v s) v t))) & ((r & t) v s)) & s)
682, (p v (q v (p & ~~~r))) & (s v ~~((t & q) v q))
683, (p v q) & ((((q & (r v p)) & s) v ~p) & (t v (q & t)))
684, ~(p v ((p & (q v ~r)) v s)) v ((~(p & p) & q) v t)
685, ~((~(((p & q) & q) v (r v (~r & (s v t)))) & q) & p)
686, ~p v (q v (r & (((q & s) v s) & ~(t & (q & ~t)))))
687, (((p v (~(q & (r & (p v p))) & p)) v (p & r)) v s) & t
688, (~(p v q) & r) v ~(r v ~((p & p) v (s v (t v s))))
689, ~p & (((p & (q v ~(~r v (s & (q & r))))) v q) v t)
690, p & (~(((q & ~r) v ~(r v (r v p))) & ~s) v ~t)
691, ((p v (q v ((q v r) & r))) v ~((q & p) & r)) v (s & t)
692, ~((p v ((q & (r & ~((s v s) & q))) & r)) & t) & ~t
693, ~((((p & (q & (((r & (s v t)) v s) v q))) & t) & s) v q)
694, (p v ((q & p) & r)) & ((s & r) v ((t & (r & ~p)) v t))
695, ((p & (q v p)) v (r & (p & q))) & (~(s & (t & p)) & p)
696, ((p v ~q) v ~q) & ~(r v ((r & ~~s) v (q & t)))
697, ~(((p v q) & (r & (s v (s & (q v ((s v s) & t)))))) & r)
698, (p & (~p v ((q & r) & (s v r)))) & (((p v r) & t) v r)
699, (p & (((q & ~r) & q) v ((~(r v s) v r) & ~t))) & r
700, ((p & (q & (q & ((p v p) & r)))) v ~s) v ((p & q) v t)
701, ((p & (q & r)) & (s v ((q v (s & ~t)) & (q & q)))) & t
702, ((~~p v (p & ~q)) & (r & s)) & ((~~t v t) v p)
703, p v (q & (((~r v (((s & q) & ~~t) v r)) & t) v s))
704, (p v p) v (q v (r v ~(q & (q v (~(s v ~t) v q)))))
705, p v (~((p & ~q) & (r v s)) & ~((p & (p v t)) & r))
706, p v ((q & r) & (((s & (~r v p)) v ((p & p) v s)) v t))
707, p v (q & ~((r v ((~q v (~(p & q) & s)) v t)) v t))
708, ((~(~(~p v q) & (r & ~s)) & ~t) & ~~p) & t
709, (p & (q v r)) & (~q & ((~~s & q) v ((s & t) v q)))
710, ~~p v ((((q v q) & ~r) v (s v r)) & ~(r v ~t))
711, p & (~(q & r) v (~(p & p) v (q v ((~s & t) v t))))
712, ~~((p v q) & (r v (s v ((t v r) & (~s & (t & t))))))
713, ~(p v (q v (r v (r v ((s & ((r & (p & t)) v r)) v t)))))
714, ((p & (q & r)) v (s v ~~(q & (t & ~(p & q))))) v t
715, p & (q & (~~(((p & r) & (q & s)) & ~r) & (t v p)))
716, p & ((~q & (q & ((r & (q v s)) v s))) & ((t & t) & s))
717, ((p v ((~q v (((r v s) v ~t) v r)) & ~s)) & t) & q
718, ((~(p & q) v r) v p) v ~(p & ~(s & ~(~r & t)))
719, p & ((~q & ~(p v (((p v (~r & s)) & t) v q))) & q)
720, p & (((~q & (r & q)) v ((s v ~~(t v q)) v r)) & r)
721, ((p & (((q v (r v p)) & s) & ((t v ~r) v q))) v s) & q
722, (p & (~(q v (p v r)) v s)) & (p & (~(t v q) v ~s))
723, p & ((q v ~(r & ~~(s v (~s v (t v ~p))))) & r)
724, ((((p v q) v ((q v ~r) v (~~p v r))) & s) v s) v t
725, (((~~(~p & q) & p) v r) & (r v s)) v ((t v p) v r)
726, ~((p v q) & ~~(~((r & s) v (p v ~(s v r))) & t))
727, (~((p & (~(q v r) v s)) v ~(t v s)) & (s & s)) & p
728, p & ((((q & r) & q) & ((~(q v (p & p)) v s) & t)) & p)
729, p v ~~(((q v r) v s) & (~(q & p) & (r v (t v r))))
730, (~p & ((~~((q & (p & r)) v s) v s) & s)) v (t & t)
731, ~(((p v (q & (r v (r & p)))) v ((s & q) v (t & p))) & r)
732, ~((((p v (q v p)) & (r & s)) v (q & (q & t))) v r) & p
733, ((p v ~(~(((q v r) & (s v t)) v r) & q)) & q) v ~t
734, ~(((p v (((q v r) v (~r & s)) v ~p)) & (s v t)) v t)
735, ((p v q) v p) v (((r & (s & ~~q)) & (r & ~t)) & t)
736, ~(p v (q v ((((r & p) & ~~r) & (r & (s & q))) & t)))
737, p & (q v ((~r & ~(s & (r & ~(s & t)))) & (p & q)))
738, (((p v q) & p) v ((~r v r) & r)) & (q & ~~(s & t))
739, (p v ~~(~((q & (~r v q)) v s) & (~r & q))) v t
740, ~((~(p v q) v r) & r) & (((s & q) v (q v ~p)) & t)
741, ((p & q) v q) & ((~(r & p) v q) & (s v ((s v t) v t)))
742, (p & q) & ((~(((r & s) v t) v s) v (s v ~q)) & ~t)
743, (p v (q & ((q & ((r v s) & ~t)) & (r v ~s)))) v ~q
744, ((p v q) & q) v (r v (((s v ~~(t v t)) & ~p) v r))
745, (p & q) v ((r v (((s v r) & t) & s)) & ((r v t) v ~p))
746, p v (~((q v ((r v r) v (~~q & s))) v s) v (q v t))
747, p v (q & (q & ~((~~(((r v s) v p) v t) & r) v r)))
748, ((~(p v ((q v q) v q)) v (r & s)) v (r v (r & t))) v p
749, ((p & q) v (r & (s & q))) & (((~q v r) v t) v (t & r))
750, (p v (q v ((q & (p v (p v r))) v ((~s & r) & p)))) & t
751, (((p v (~q v p)) v ((~q & (r & s)) & p)) v ~t) v p
752, p & (~(q & ~r) v ((q v r) v (~q v ((p & s) & t))))
753, (((p & ~(q v (r & ((s v q) v p)))) & p) & ~t) & ~t
754, ((p v ((q v r) & (s v t))) v ((r & r) v t)) & ~(t v s)
755, ~(((~(p & ((p & ~q) & r)) v s) v (t v (r & p))) v q)
756, (((p v q) & r) v ~~((q v q) v s)) v (~(s & q) v t)
