formula, alpha, beta, fmi
p v ((((~(q v p) -> (r v q)) -> (p v s)) -> (r -> t)) v r), 3, 8, 0.5
~((p & ~q) -> r) & ((s & (~p & r)) -> ((s v t) & r)), 5, 5, 0.5555556
~((~~p -> (q & (r -> q))) v (r v (s -> (t -> (t -> t))))), 8, 2, 0.5555556
(p -> ((~(q -> (~(p v r) -> (s -> ~t))) v t) v q)) -> q, 4, 6, 0.5555556
(p -> ~(((p v q) -> (r -> s)) v ((p & r) v s))) & (p -> t), 6, 10, 0.5
(~((p v q) & (p & r)) v ~((s v t) v (r v ~q))) & t, 9, 4, 0.5555556
~((p & (((q -> r) & (((q v s) -> s) -> q)) v t)) v (r v t)), 9, 4, 0.5
((p -> ~((q & r) & ~((r & s) & ~(q & t)))) v s) & q, 4, 6, 0.5555556
(p -> ((((p v q) -> r) & (~s -> (r & (t v t)))) & p)) -> p, 7, 6, 0.5
~~(~p & ((q -> r) & p)) & (s v ((r v t) & (p & p))), 6, 6, 0.5555556
(((~((p & q) & q) v r) & ((q v s) v t)) & (s -> p)) & s, 4, 24, 0.5
p -> (q -> (r -> (r v (((s v (~t & (s -> r))) v s) & q)))), 3, 8, 0.5
(((~~p -> p) -> q) -> r) & (~s v ((t v r) -> (t v r))), 4, 12, 0.5555556
(((p & q) -> ~((r v (s -> (t & p))) -> r)) -> r) -> (s & p), 8, 6, 0.5
~p & ((q -> ~((r v s) & ((s v r) -> q))) -> (t & ~q)), 9, 5, 0.5555556
p v (~(((q -> p) -> (~r v s)) v ~t) -> (s -> (r & r))), 4, 7, 0.5555556
~p & ((q & ((r -> p) -> ((p & r) -> p))) & ((s & p) -> t)), 5, 12, 0.5
p & (q & ((~((q & r) & (s v t)) & s) -> (s v (t -> r)))), 5, 6, 0.5
((~(p -> ~q) v r) -> (~q & s)) & ((~~r -> t) v q), 5, 9, 0.625
~p & ((p -> (q v (r v s))) -> (q & ((r v t) -> (s v p)))), 13, 4, 0.5
(((p v (q & q)) -> r) v ~s) -> (r v (r & (t & (s -> t)))), 12, 5, 0.5
~((p v q) v (((~r v ~p) & s) v ((t -> p) v p))) & s, 8, 2, 0.5555556
p & ((q v (((r & s) v t) v ((p -> ~q) & (t v s)))) v q), 5, 8, 0.5
((p -> (((~q & ((q & (p -> q)) & r)) -> s) & t)) & t) & p, 5, 6, 0.5
(p & q) & ((((~r & s) -> r) -> t) v (p v (t v (s v r)))), 5, 6, 0.5
((~~~p -> ((q v ((r -> (s & p)) v r)) & p)) v t) & p, 4, 6, 0.5555556
((p v p) v (((q & p) -> ((r -> r) v s)) v ~t)) v (t & p), 2, 9, 0.5
(((~~((p -> p) -> ((~q & r) -> r)) v r) v p) v s) & t, 3, 7, 0.5555556
~((p & ((q -> ((r v q) & p)) v (s v r))) & (t v (t -> s))), 15, 4, 0.5
((~p v ~p) v ((q v ((r & ~s) -> q)) -> t)) & (t & q), 6, 4, 0.5555556
~((p & p) -> ((q -> r) & ~(s & (((~p & r) v t) & q)))), 10, 3, 0.5555556
~(p & q) -> ~((~r & ((s & p) & ((p v t) & p))) v p), 6, 6, 0.5555556
((((p -> q) v ~r) v s) v s) -> (p v ((t & t) v (s & p))), 20, 4, 0.5
p -> ((p & ~(q & ~(r v (s & ~p)))) v ((q & s) v t)), 6, 6, 0.5555556
p -> ((~~q v (r v ~(s -> ~t))) -> ~(t v (r -> r))), 9, 4, 0.625
(p & q) v ~((r & (((r v p) & ~q) & s)) v ~(t -> r)), 6, 9, 0.5555556
p v (((~~p -> ~~q) -> r) v (~s & ((r & r) -> t))), 4, 6, 0.625
(p & (((q -> (r v s)) & s) v (p & q))) & (t -> (~s v p)), 6, 12, 0.5
~p v (p v ((q -> ~((r v s) -> (p -> ~t))) & (s -> r))), 4, 8, 0.5555556
(p & (((q & (r & s)) -> r) & ((s v ~(q & s)) v t))) & s, 4, 16, 0.5
p & (((p & ((q & (r & ~(s & t))) v t)) -> (r & p)) -> r), 6, 7, 0.5
((p & (~(((q -> r) v p) v p) & (s v t))) v (r -> r)) v r, 6, 5, 0.5
p & ~(q v ~(r & ((q -> s) -> (t -> (p v ~(q & q)))))), 5, 5, 0.5555556
p & (q & ((r -> s) -> (r -> ~((s v ((r -> t) & t)) v s)))), 10, 4, 0.5
(((~~~(p -> q) -> r) v q) & ~s) v ~(s v (p & t)), 4, 6, 0.625
((p -> (q & r)) & ~~((r & p) -> s)) -> ((t v p) -> ~s), 12, 5, 0.5555556
(p v p) v ((((q & r) v (s v (q -> t))) -> q) -> (r & ~r)), 6, 7, 0.5
~((p v (~(q v ((r & ~p) -> s)) v s)) -> p) v (t -> q), 5, 5, 0.5555556
(~p v (((q v p) v r) & (p & s))) & ((t -> ~~r) v p), 4, 12, 0.5555556
(p v (((q & q) & r) & s)) v (((p & (~t v q)) & t) & q), 16, 4, 0.5
(p & q) -> (r -> ((p -> s) -> (~~s v ~(p v (t & r))))), 4, 7, 0.5555556
p -> ((q & (((((p -> q) -> r) -> ~r) -> p) -> (r & s))) & t), 8, 5, 0.5
(p & (((q & (p -> ~r)) v p) & ((~s v p) & ~t))) & t, 6, 6, 0.5555556
~(((((p & q) -> p) v r) -> ((r -> ~~q) & s)) v r) v t, 4, 9, 0.5555556
p & (((q & q) & ~(~(r & (r & ~q)) & s)) -> (q & t)), 5, 6, 0.5555556
p -> (q & (r -> ~~((((~q & ~q) -> q) & ~s) -> t))), 4, 5, 0.625
p & ((((~((q & (r v ~r)) -> s) v r) v ~t) v q) -> p), 6, 4, 0.5555556
p & (((((q v r) v (p -> s)) -> s) v t) v (p v ~(r -> r))), 9, 5, 0.5
((~(p v q) v ((r & r) & ((p -> s) & t))) v t) & (p & r), 10, 4, 0.5
(((p & (q v (r & s))) & (s v s)) -> r) -> ~((q v t) & t), 10, 6, 0.5
(p v ((~q -> (~r -> q)) v s)) v (((q & ~p) -> t) & p), 2, 8, 0.5555556
(((p -> q) -> r) v s) v (q -> (~(q -> (t v s)) -> (t & r))), 4, 8, 0.5
~((p v q) -> ~((r v ~p) -> s)) & (p v ((t & p) -> p)), 4, 16, 0.5555556
p v (((~q v p) -> (r -> (q & (((s v t) v t) v s)))) -> p), 6, 6, 0.5
(p -> (q & ~~~r)) v (((s & t) v (q & (p & q))) v p), 12, 5, 0.5555556
~(((p & ((q & r) & s)) & q) -> (r v ~t)) & (t v ~t), 8, 2, 0.5555556
(((p & (q & ~q)) -> (q & r)) -> q) v (~(s v ~t) v p), 8, 5, 0.5555556
(((((p & q) & (~r v s)) -> ((r -> t) v t)) & r) -> s) v s, 6, 5, 0.5
(p -> p) v (~q -> (q -> ((((r -> p) -> (s & p)) & t) -> r))), 2, 10, 0.5
(p & ~((~((q -> q) -> ~r) & (q v (s -> t))) & s)) & q, 8, 4, 0.5555556
(p v (q v ~(~r v r))) -> ((s & (s & (t -> ~s))) & r), 12, 4, 0.5555556
(p v ~((p v (~q v r)) v ((q & s) v (~p -> r)))) -> t, 3, 7, 0.5555556
(p v q) -> ((p -> (r & s)) v ((p & (p v (t -> t))) v ~p)), 8, 7, 0.5
p & (q -> ((r v (p & (s -> ((q -> s) v (t v s))))) & ~r)), 4, 7, 0.5
~(p v ((q -> (r & ((s v r) & (s v ~t)))) -> (q v ~p))), 6, 5, 0.5555556
(~(~p -> q) v (r -> (s v t))) v (p -> ((~s v q) v p)), 2, 8, 0.5555556
((p -> (q v ~((q & r) & s))) v ((t -> p) v (r -> r))) & p, 2, 9, 0.5
p & ((q -> r) v (((~p -> ~s) -> s) & (t & (q & ~p)))), 6, 4, 0.5555556
p v (((((q -> r) v (r v r)) & ~q) & (q v s)) & (t v r)), 4, 17, 0.5
p & ((q v (p & ((r v s) & t))) v (t & ((~p & s) v p))), 10, 5, 0.5
~(p & p) -> ~(q -> (r & (((s v (q v t)) & p) & ~t))), 8, 5, 0.5555556
~((p v ~~q) v ((((r -> ~r) v s) v s) v ~s)) v t, 7, 2, 0.625
(p & ~(q -> (p & (((r -> (q v r)) v (s -> r)) & r)))) & t, 8, 3, 0.5
(p & (((~(q v r) v (s v p)) -> s) -> (t & (s -> t)))) & t, 8, 5, 0.5
p v ((q & (~r v s)) -> (((r & t) -> (r v r)) v (q & r))), 4, 8, 0.5
(p -> q) -> (~(~q & q) v ((r -> (~(s -> r) -> p)) -> t)), 8, 5, 0.5555556
~((p -> ((p & q) -> (q -> (q -> q)))) & (((r v s) & t) & t)), 12, 4, 0.5
((p v q) v ((~((r & q) v (s & (q & p))) -> t) & s)) v r, 7, 6, 0.5
(p -> (q v r)) -> (s v (s -> (s -> (((~t v r) -> s) -> p)))), 6, 7, 0.5
((((p -> q) & (p & r)) -> (~p v p)) & (s -> (p & t))) & q, 5, 10, 0.5
p v ~((((q v r) & r) v (((r & s) v (s v p)) -> t)) & s), 5, 8, 0.5
p v ((p & q) -> (((r & (p -> s)) v t) & ((t v t) & ~p))), 4, 9, 0.5
(((p -> q) & ~~r) -> s) -> (((t v (r -> t)) -> q) v ~q), 9, 5, 0.5555556
(p v ((q v r) & ~~((r & r) v (s -> (~q -> r))))) -> t, 9, 4, 0.5555556
((p & (q v (q & r))) v p) & (s -> (t -> ((s & r) -> ~q))), 4, 15, 0.5
(p & (q -> r)) & (p -> (~s v ((t v (s & r)) v (s v r)))), 4, 12, 0.5
p v ((~(q -> q) v (r & ((s & s) -> (s -> t)))) v (s -> s)), 4, 8, 0.5
(p & ((q v ((r & (~r & ~~(s v r))) & t)) -> p)) v p, 4, 6, 0.5555556
(~(p & ~(~((q & q) v r) -> q)) v s) -> (r & (t & t)), 15, 3, 0.5555556
(~p & (q & (r & ~((p -> p) & ((s v t) -> ~r))))) & q, 8, 3, 0.5555556
(p v ~(~((q -> (~(r & q) -> s)) & q) & t)) v ~~q, 3, 6, 0.625
((~(p -> q) -> (~(r & (q & s)) & (q v r))) v p) v ~t, 2, 10, 0.5555556
(((p -> (~(q -> (r -> s)) v (~q v r))) & t) v ~q) -> r, 5, 5, 0.5555556
p v (~~((q -> ((p v ~(~~r v p)) -> s)) & t) & q), 4, 5, 0.625
(p v q) & ((r & r) & (((s v (t -> ~~~t)) -> q) -> t)), 5, 8, 0.5555556
((p & ((((q -> r) -> s) & ~s) -> t)) v t) & (s -> (r -> t)), 4, 15, 0.5
(p -> q) v (((r v q) v ((r v (~q -> (q & s))) & t)) -> r), 5, 6, 0.5
(p v ~(((q -> r) v r) & p)) -> (q v (~s v (p v ~t))), 3, 7, 0.5555556
p & (~((~((~q & q) & ~r) v ~p) & (s -> t)) -> p), 3, 9, 0.625
~((p -> (~p & (q & q))) -> (((r -> (~q v s)) v r) -> t)), 5, 8, 0.5555556
(~p v ~q) & (((((r -> s) v p) & (r v ~t)) & r) v p), 4, 14, 0.5555556
p -> ((p v ((~p & q) & (((q v r) v s) -> (r v t)))) -> s), 4, 7, 0.5
(p v ((~q & r) & r)) & ((s & ~(q -> (~t -> s))) -> r), 4, 10, 0.5555556
(p -> (q -> (~r & ((((~p & s) v q) -> t) & p)))) v ~p, 4, 6, 0.5555556
p v (((q & ((~r v (s v s)) & (r v s))) -> ~t) & ~s), 7, 5, 0.5555556
~((p & (q & r)) & ((s -> (t & ((r -> r) & (q & p)))) & s)), 3, 8, 0.5
(p -> ((q & r) v (s v (~(s -> s) v t)))) & ((r & t) & s), 7, 5, 0.5
~(p -> ((q -> ~((~r & s) v t)) -> (r -> (r v (q -> p))))), 7, 3, 0.5555556
p -> (q & (~r & ~(s -> (((s & (~t v q)) -> r) v r)))), 7, 3, 0.5555556
(p -> (q v ((r -> ~((r -> q) v (s -> t))) v (q & s)))) & q, 9, 5, 0.5
(~(((p v q) -> r) -> (s & p)) v (((r v r) v q) & t)) v s, 6, 8, 0.5
(p v ((((q v r) -> p) -> (s & p)) v ~(s -> (q & q)))) v t, 8, 7, 0.5
((((p & ((q v ((r & r) v ~s)) v p)) -> t) -> r) & s) -> p, 5, 6, 0.5
(~p v (((~q & ~r) -> p) -> ~~s)) v (r -> (p -> t)), 3, 6, 0.625
~((p -> q) & (r -> p)) -> (((r & s) v p) v ~~(t & s)), 8, 7, 0.5555556
~(p v ((q v r) & (r -> ((((s v s) & t) & (s -> q)) & s)))), 11, 5, 0.5
~((~p v q) & ((r v s) -> (t v (s & r)))) -> (~s v t), 5, 8, 0.5555556
((p -> ~q) -> (r & ((((r -> p) & p) -> ~s) v ~s))) -> t, 5, 7, 0.5555556
(p & q) & (r v (s v ((q -> s) v (r v (p & (~t & q)))))), 5, 6, 0.5
(p & q) & ((r -> r) v (((s & (q v (q v q))) v t) -> ~q)), 6, 5, 0.5
~((p & q) v q) & ((r -> ((s -> p) v t)) -> (p v (s v s))), 6, 8, 0.5
(((~((p -> (q v (p -> q))) -> q) & r) v ~~s) v p) v t, 3, 7, 0.5555556
((((p v q) & ~~p) & (r & q)) v s) v (~s -> (q & t)), 8, 5, 0.5555556
(~(p v (((q -> (r -> (r & s))) -> (q & q)) v t)) v p) & s, 6, 7, 0.5
p & ((q -> p) v (~~r & (((~r v s) v (t & t)) v s))), 4, 6, 0.5555556
((p & (((~(q v r) & s) v ((q & q) & t)) v r)) v t) & s, 11, 4, 0.5
~(p v (p v (q v (((((q v p) v r) & s) -> t) -> (s & p))))), 7, 6, 0.5
((((p & (q -> q)) v ((r & s) & s)) -> (~t -> t)) v q) v p, 3, 10, 0.5
((((p v (q & r)) & p) & q) -> ((~q v r) -> s)) v (r -> t), 4, 8, 0.5
~((p & (((q & (q & p)) & (p v r)) v s)) & ((t -> t) -> t)), 6, 7, 0.5
p & ((q v r) -> ((r v s) v (((s v (t & t)) & r) -> ~p))), 5, 7, 0.5
(p & ((q v (r & (p v (s v ~p)))) -> (q -> t))) -> ~~s, 4, 6, 0.5555556
((p & ~q) v q) -> (((r -> r) v p) -> (r v ((s v s) v t))), 6, 7, 0.5
((p -> q) -> (r & ~s)) -> (r -> ~(r & ~((t v q) v q))), 2, 9, 0.5555556
((((~p v (q -> ~r)) & (s & ~p)) -> ~q) v ~t) -> t, 5, 4, 0.625
p v ((q -> (((~(q -> r) -> q) & s) & (s & s))) v (t -> r)), 4, 7, 0.5
p v ((q & (r & ((s -> t) & ~((q & t) & (r -> s))))) v p), 5, 8, 0.5
(p -> p) v ~(((q v ~(r -> (q & s))) -> t) & (~s v q)), 6, 6, 0.5555556
(~p -> (((q -> p) & p) v (((r & (s -> p)) v t) -> t))) v p, 6, 7, 0.5
(p v q) & (~((q -> (r & s)) v t) -> (p v (r -> (t & r)))), 5, 12, 0.5
(((p v q) & r) & (q -> s)) v ~(p v (t -> (p & ~~r))), 9, 6, 0.5555556
(((p v q) & ~(p v (r -> (s & (s & (s v p)))))) v t) & p, 6, 7, 0.5
(((~p -> (q -> ~q)) -> r) -> ~((s -> (s v s)) v s)) -> t, 4, 9, 0.5555556
(p -> ~((q -> ~(r -> ~(s -> ~t))) & ~(q & q))) -> t, 4, 7, 0.625
~~(~((p & (q v (r & (p -> (s v (t & t)))))) & t) -> s), 5, 5, 0.5555556
p -> (((~q -> r) & ((s -> (~t v (t -> t))) v p)) v ~q), 2, 12, 0.5555556
(p & ~q) & ((~~q v ~(~r -> s)) & ((t & p) & p)), 7, 2, 0.625
(p -> (q & ((r & (p & s)) & ((q -> p) -> ~q)))) & (q v t), 7, 6, 0.5
((p v q) v r) v ~(s & (((p v (p -> t)) -> (q & s)) v r)), 3, 10, 0.5
(((p -> (q -> r)) v p) -> r) -> (s -> ((p -> (~s & t)) v s)), 4, 8, 0.5
(p & ((((q -> r) & (r & ((r & s) & t))) -> ~r) -> r)) v t, 7, 4, 0.5
((~p & ~(~q v r)) & ~(s v ~(r -> (s & s)))) -> t, 2, 7, 0.625
((p & ((q -> r) -> (q -> s))) & ~(t v r)) v ~(s -> ~r), 10, 4, 0.5555556
((p -> ((q v (~r & q)) v r)) -> s) v ((t & (q v q)) -> t), 8, 6, 0.5
p -> ((q & (p -> (r & q))) -> (((q v ~r) & (s -> s)) & t)), 6, 8, 0.5
p & (((q v q) -> (r & (((~s & s) & t) v q))) & (p & s)), 11, 3, 0.5
~(p -> (q -> (((q v ((~r & (s -> r)) -> ~p)) & t) -> r))), 6, 4, 0.5555556
((~p -> q) v r) -> ((q v ((s -> s) v (~t v p))) -> ~p), 15, 3, 0.5555556
((((p v q) -> (r -> (p -> s))) -> p) & ((q v ~t) -> s)) & q, 7, 6, 0.5
~p & (q -> (r & ((((s & (r -> q)) & (r v t)) v s) -> q))), 7, 5, 0.5
~p & ((q v (r v ((((~q & s) -> ~t) -> s) -> t))) -> q), 7, 3, 0.5555556
((p v (((~q v (q -> r)) v s) v r)) & ((t & t) v t)) & r, 4, 12, 0.5
(((p -> (~p v (q & r))) v ~p) & ~(s -> r)) -> (s & t), 8, 5, 0.5555556
(p & q) v (p v ((r & p) & ((s -> ~r) v (s & (p v t))))), 8, 6, 0.5
~((p & q) & ((r -> ~(s & (((q & t) & ~s) v s))) v t)), 6, 4, 0.5555556
(((p v (q -> p)) v (r -> ((s v ~r) -> t))) -> q) v (t v q), 6, 5, 0.5
(p -> (~(q -> (q v r)) & ~~(s -> p))) -> ((t & r) v r), 6, 6, 0.5555556
((p v q) v r) v ((s v (q -> ((p -> ~t) v t))) -> (t -> r)), 5, 6, 0.5
(p v (q & ~(p -> (r & s)))) v ((t & q) v ((q & s) & r)), 18, 5, 0.5
(p v (((~~~q & r) -> (s v r)) & t)) -> (p v (q v s)), 5, 5, 0.5555556
p & ((((q v ~(p v (r -> ((p -> s) -> t)))) v s) & s) -> s), 5, 6, 0.5
~((p -> (p & ((q v ~r) v (r & ((s v t) -> ~s))))) v r), 6, 4, 0.5555556
~((p & ~(q -> q)) & (((r & s) v (~t v p)) & (s v t))), 6, 6, 0.5555556
~(p v (~(~q & r) -> s)) -> (r -> ((p & (t -> p)) & t)), 6, 6, 0.5555556
((p -> (q v ~(~(r -> (r -> (s & p))) & p))) -> ~t) -> s, 3, 7, 0.5555556
p v (q -> ((((r & ((p & s) & t)) & (p v ~s)) -> q) v q)), 2, 9, 0.5
p & ((((q & r) & (p -> s)) v ((s & t) -> ~(s & s))) v q), 4, 7, 0.5
(p -> (~(q & q) -> ((((p -> r) v s) -> (s -> p)) -> t))) v t, 6, 7, 0.5
p & (((((q & r) & r) -> (s v ~q)) v q) v (t & (s -> t))), 3, 8, 0.5
p & (((p v (q & r)) v r) -> ((s & t) & (~r v (p v q)))), 10, 5, 0.5
~(((((((p v p) -> q) & p) & (r & (s v t))) & p) -> t) -> s), 5, 7, 0.5
p & (~~(~~((~q -> r) & p) v ((s & q) -> t)) -> r), 6, 3, 0.625
(p & (q -> (~(r & r) v (((q v s) v q) -> q)))) v (t & r), 8, 6, 0.5
(p v ((q -> (r & ~(~(r & q) & r))) & ~s)) -> (p v t), 4, 6, 0.5555556
p & (p -> (((~p -> q) v ((~(~r -> s) v t) -> r)) v r)), 3, 7, 0.5555556
(((p v p) v q) & ((((r & p) v s) & t) -> ~(r -> p))) -> q, 12, 6, 0.5
p & (q -> ((r -> (s & s)) & (q v (q v (p & ~(q v t)))))), 6, 7, 0.5
(p -> (((q -> q) -> (r v ~(r & p))) -> r)) v (s & (s & t)), 12, 5, 0.5
(~(p -> ~(((q -> p) v (r v r)) & (~s -> t))) & q) & q, 5, 8, 0.5555556
(p -> ((q -> (((p v q) -> r) & (~s v s))) & t)) v (p -> q), 4, 8, 0.5
p v (p v (((q v p) -> p) & (((r & q) v (s v ~t)) & t))), 5, 8, 0.5
p & (((q & (((q -> r) v ~q) -> (~s -> q))) & ~t) v s), 6, 4, 0.5555556
(((~((~p -> q) & (p -> q)) & r) v ~r) -> s) -> (t & r), 12, 4, 0.5555556
(p -> ((q -> r) -> (s v ((s & q) & ((s v r) & p))))) & ~t, 9, 5, 0.5
p -> ((q v (~(~(r -> (~p v s)) -> q) -> (t v p))) & r), 2, 8, 0.5555556
((p v q) & ((r & (~p v s)) -> (r v (t v t)))) & (r & p), 5, 10, 0.5
p & ((((((~q -> r) & ~p) -> s) & (p v t)) v p) -> ~r), 8, 4, 0.5555556
((p -> q) v p) v ((r -> ((q v (~s & p)) -> p)) v (t -> q)), 2, 9, 0.5
(p & (((q -> (r v (~~s v (s & t)))) -> r) -> ~s)) -> t, 5, 5, 0.5555556
~((((p & (q & ((r & (s & p)) -> s))) v t) & (q & r)) & q), 5, 6, 0.5
((p & ~q) -> (r v (p & (~s & ~~q)))) v ~(s -> t), 6, 5, 0.625
~p v (q -> ((((r v (~s & s)) -> r) & r) -> ~(s & t))), 3, 7, 0.5555556
~(p v ((((q v ((r & s) & t)) v q) -> ((t -> s) & t)) v r)), 7, 6, 0.5
((p v q) -> (r & s)) v (q -> ((~s -> (q & (s & s))) v t)), 12, 6, 0.5
(~(p -> ~((q v r) -> (s v ((t v t) v p)))) -> p) v ~t, 5, 5, 0.5555556
~((((p & (q & (p & ((r -> (q v s)) -> p)))) -> r) & q) v t), 8, 3, 0.5
p v ((~~q & p) -> (r v (((s v (r v p)) & q) -> ~t))), 3, 7, 0.5555556
(((p v ((q -> (((r v r) -> s) & t)) & ~s)) -> t) -> s) & p, 6, 5, 0.5
~(p & (((q v ((q & (r & (p -> s))) -> (p v t))) -> t) -> r)), 7, 4, 0.5
((~(~(p & q) & p) v r) -> (~s -> (q v (t & t)))) & s, 7, 5, 0.5555556
((((p -> q) -> p) & (r & (~s & t))) v (t -> p)) & ~~s, 6, 4, 0.5555556
~((((((p -> q) -> ~r) -> ~q) -> (s -> t)) & ~~q) -> t), 5, 4, 0.625
((p & q) -> (((((r -> p) v ~r) v s) -> t) & (t & r))) v p, 6, 5, 0.5
((p & (q & ((~r v (p & ((p v s) v t))) v s))) -> q) v s, 5, 6, 0.5
((((~~p v q) v r) & (q -> p)) v ~(p v (p v s))) v t, 6, 8, 0.5555556
(~((p v (q v q)) -> ((r -> s) v p)) -> r) -> ((s & t) -> q), 5, 6, 0.5
((p v ((~q & ~r) -> p)) v ~(s -> (~~r v t))) -> t, 5, 4, 0.625
~(p v (q -> (p & ((r -> (s -> ~~((r & s) v s))) v t)))), 7, 3, 0.5555556
p & (((p v (~q -> ((r v ((s & q) & s)) -> q))) v r) v t), 3, 8, 0.5
~((p & q) -> p) v ((p v ((r & (s -> p)) & (r & t))) v s), 12, 5, 0.5
((((p v q) & q) v ((r -> p) v ((~s -> r) -> t))) v t) -> s, 7, 5, 0.5
((p & q) & ((q -> r) v p)) -> (((s v p) v ~(p -> t)) -> t), 9, 6, 0.5
(p & q) -> (r -> (q -> (~q -> (((p & p) v (s & t)) -> r)))), 2, 10, 0.5
~p v (q & (r & (((s & ~~(r v r)) v t) -> (q -> s)))), 5, 5, 0.5555556
~((p -> (q & ~(~r v (p & p)))) & (p -> (s v t))) v p, 9, 5, 0.5555556
((p -> q) & ~(p & p)) & (r & (((r & r) -> s) & (t -> q))), 5, 24, 0.5
(p & (((~q v q) v q) & r)) -> (s -> (~~(s -> t) v t)), 3, 7, 0.5555556
p v ((p & ~(q -> (r & (q v s)))) -> (t v ((t & t) v p))), 4, 8, 0.5
~~p -> ((q & (p -> (r -> s))) & ((t v r) v (s & ~p))), 4, 10, 0.5555556
p & (~(q -> ~p) v (p & ((p & r) & (~s & (r & t))))), 13, 2, 0.5555556
p & (~((((q v (r & s)) v t) -> r) & (p v q)) -> (s & t)), 9, 7, 0.5
p & (q -> (((q & (r -> ~r)) -> s) -> (((p & p) v q) & t))), 10, 5, 0.5
((p v ((q v ((p & r) v r)) & ~s)) & ((q & t) & r)) -> s, 4, 7, 0.5
(((((~p -> (~(q & ~r) & r)) v p) & s) v p) & t) v q, 4, 6, 0.5555556
(((p -> ~q) -> ~~r) & (p -> s)) -> (s -> ((t -> t) v t)), 4, 7, 0.5555556
p -> (q -> ((((r & s) v (t & ~(q -> p))) v (q v p)) -> p)), 4, 9, 0.5
~((p & (((q & ((r -> ~q) v s)) v s) -> (q v t))) v ~r), 5, 5, 0.5555556
p v (~q v ((r -> ~q) -> (~r -> (s v ((t -> s) & t))))), 4, 7, 0.5555556
p -> ((q & q) & (q -> (((r & r) & q) -> (~p v (s v t))))), 3, 8, 0.5
p & (~~(q & ((r & (p v s)) v ~~(~t v p))) v s), 4, 5, 0.625
~(p & ((q -> p) & (((p v (r & q)) -> (s & r)) -> (t -> p)))), 12, 5, 0.5
(p & (((~((q & r) & (s -> s)) -> q) v (t v s)) v t)) & q, 5, 6, 0.5
(p -> q) -> (r & ((r -> r) v ~~((s & (t v r)) -> ~r))), 6, 6, 0.5555556
p v (((q v (~r & s)) & (q -> ((s v (r & t)) -> q))) v t), 4, 10, 0.5
p & (q v (p -> ~(((((r v p) & s) & t) -> r) -> (r v r)))), 5, 6, 0.5
((((p v (q v q)) -> r) v q) -> ~((s v s) -> (t -> r))) -> r, 5, 10, 0.5
((p v (q & r)) & s) & (~s -> (((t & ~~s) -> s) & p)), 5, 8, 0.5555556
~((((p & ((q v q) & r)) v ~(r -> s)) v q) & t) v ~r, 4, 8, 0.5555556
p -> (~((p & ((p v q) v ~(~r v (s v p)))) -> r) v t), 5, 5, 0.5555556
p v (((q & ~(q -> r)) v (q -> (s -> t))) & ~(q -> ~t)), 5, 5, 0.5555556
~(((p v ~q) & (~(r v (s -> (t -> (t v s)))) & r)) v t), 3, 7, 0.5555556
((p & ((p & q) -> ~(r & p))) & r) v ((s & s) & (s v t)), 9, 6, 0.5
p & ~(q & ~((p & r) & (s -> (~((t & r) -> r) v q)))), 6, 4, 0.5555556
((p v ((q & r) -> (s v (t & (t -> p))))) v ~(q -> q)) v s, 4, 8, 0.5
((p v ((q -> (~r & q)) & ((q & p) & q))) -> (s v r)) -> t, 7, 4, 0.5
p -> ((q v p) -> ~((r v (s & r)) & (~t -> ~(p v t)))), 8, 6, 0.5555556
((((p v (q -> ~r)) -> p) -> ~p) v p) -> (r -> (s v ~t)), 5, 5, 0.5555556
~(p -> ((q v (~~q & ((r v ~(s -> ~t)) v p))) -> q)), 5, 4, 0.625
(p -> q) -> ((((r v ~p) & s) -> (p -> ((s v t) -> t))) v s), 8, 7, 0.5
((p & (((((q v p) -> p) & r) & s) -> t)) -> (p & ~t)) -> t, 4, 11, 0.5
(p & ~(((q v r) -> q) v (s -> (t v s)))) v ((q v r) v t), 6, 5, 0.5
(p -> q) & ~((r -> s) & ((t v ~(t & (r -> ~q))) -> p)), 7, 8, 0.5555556
(p v q) & (r v ~(((~q & (q v ~s)) -> r) & (t v r))), 7, 8, 0.5555556
((p & ~~(~(q & r) & (~(r -> s) -> q))) v p) v ~t, 3, 8, 0.625
((p & (((q v r) -> s) -> ~~~t)) -> ((r & s) -> q)) v r, 3, 7, 0.5555556
(p -> (p -> q)) v ((r v ~s) -> ~(s v ~((t v p) & s))), 6, 6, 0.5555556
((~p & q) -> (((r & ~s) -> s) -> (r & r))) v (s & ~t), 12, 5, 0.5555556
(((p & q) -> (~q & p)) v (((r -> s) & s) -> ~~t)) & q, 5, 6, 0.5555556
~((p -> ((q v (r -> p)) -> (r -> q))) v ((s -> (s -> t)) v p)), 8, 3, 0.5
(p -> ~(~(q -> ((~(p & q) v r) v r)) -> (s & t))) & r, 7, 3, 0.5555556
((p v ((q v ~r) v q)) -> r) v (s -> (t -> ((s & s) -> r))), 4, 7, 0.5
((p & q) v ((((r & ~(p -> r)) & r) -> (r -> p)) v s)) & t, 3, 8, 0.5
p -> (((((q -> p) -> ((r -> s) -> (s & ~q))) v q) & s) & t), 10, 5, 0.5
p -> (((q v (~(r -> ~~s) & (q & (q & t)))) -> r) -> q), 6, 4, 0.5555556
p & (((q & (r -> ((s -> r) v t))) v p) & ~(t v (q & s))), 5, 10, 0.5
p -> ~(((q v ((((r -> s) & t) v s) -> ~~s)) -> p) v s), 5, 5, 0.5555556
